dayTveg	Tvplot1_top	a
256.146	11.0438	
256.153	11.3013	
256.16	11.485	11.485
256.167	11.0675	
256.174	11.0863	
256.181	10.9925	10.9925
256.188	11.05	
256.194	10.6875	
256.201	10.765	10.765
256.208	11.0713	
256.215	11.0325	
256.222	10.8975	10.8975
256.229	10.6138	
256.236	10.4925	
256.243	11.07	11.07
256.25	11.2263	
256.257	11.1163	
256.264	10.6825	10.6825
256.271	11.365	
256.278	11.3463	
256.285	11.6188	11.6188
256.292	12.0025	
256.299	12.1075	
256.306	12.3188	12.3188
256.313	12.7075	
256.319	13.07	
256.326	13.505	13.505
256.333	14.055	
256.34	14.4338	
256.347	15.0075	15.0075
256.354	15.39	
256.361	15.8138	
256.368	16.2338	16.2338
256.375	16.6788	
256.382	17.285	
256.389	17.8038	17.8038
256.396	17.6825	
256.403	17.28	
256.41	18.2838	18.2838
256.417	17.4888	
256.424	18.5988	
256.431	20.05	20.05
256.438	21.6138	
256.444	20.9425	
256.451	21.8175	21.8175
256.458	22.155	
256.465	22.6113	
256.472	23.625	23.625
256.479	24.6788	
256.486	24.5975	
256.493	25.3363	25.3363
256.5	24.8725	
256.507	25.505	
256.514	25.0525	25.0525
256.521	24.9888	
256.528	25.6388	
256.535	25.4138	25.4138
256.542	25.7488	
256.549	25.3863	
256.556	25.6763	25.6763
256.563	25.7038	
256.569	25.8125	
256.576	25.2988	25.2988
256.583	25.7938	
256.59	25.5788	
256.597	25.2038	25.2038
256.604	25.4138	
256.611	24.92	
256.618	24.9038	24.9038
256.625	24.8688	
256.632	25	
256.639	24.795	24.795
256.646	25.0788	
256.653	24.1725	
256.66	23.95	23.95
256.667	24.2988	
256.674	23.93	
256.681	23.8688	23.8688
256.688	23.9463	
256.694	23.9713	
256.701	24.3388	24.3388
256.708	24.105	
256.715	23.8075	
256.722	23.3063	23.3063
256.729	22.8438	
256.736	22.3788	
256.743	22.3763	22.3763
256.75	21.4488	
256.757	20.9875	
256.764	20.5588	20.5588
256.771	19.8925	
256.778	19.285	
256.785	18.6988	18.6988
256.792	18.03	
256.799	17.4113	
256.806	16.4775	16.4775
256.813	16.6288	
256.819	16.21	
256.826	15.1575	15.1575
256.833	14.83	
256.84	14.9288	
256.847	14.5263	14.5263
256.854	14.0838	
256.861	14.5688	
256.868	14.35	14.35
256.875	13.945	
256.882	13.7188	
256.889	13.9238	13.9238
256.896	14.055	
256.903	14.4625	
256.91	14.0063	14.0063
256.917	14.2813	
256.924	14.41	
256.931	15.05	15.05
256.938	15.1513	
256.944	15.4438	
256.951	15.7275	15.7275
256.958	15.7775	
256.965	14.8488	
256.972	14.4963	14.4963
256.979	14.1	
256.986	14.6688	
256.993	13.96	13.96
257	13.6288	
257.007	13.5625	
257.014	13.3338	13.3338
257.021	13.2725	
257.028	13.1025	
257.035	12.895	12.895
257.042	12.6875	
257.049	12.7063	
257.056	12.585	12.585
257.063	12.5313	
257.069	12.3475	
257.076	12.2075	12.2075
257.083	12.315	
257.09	12.385	
257.097	12.61	12.61
257.104	12.635	
257.111	12.985	
257.118	12.9575	12.9575
257.125	12.5038	
257.132	12.2663	
257.139	12.385	12.385
257.146	12.46	
257.153	12.7463	
257.16	12.6463	12.6463
257.167	12.4838	
257.174	12.61	
257.181	13.0975	13.0975
257.188	13.2713	
257.194	13.0463	
257.201	13.1588	13.1588
257.208	13.4163	
257.215	13.37	
257.222	13.1963	13.1963
257.229	13.0913	
257.236	13.0913	
257.243	13.3625	13.3625
257.25	13.4988	
257.257	13.7075	
257.264	13.8713	13.8713
257.271	13.97	
257.278	13.9925	
257.285	14.0013	14.0013
257.292	13.8588	
257.299	13.8988	
257.306	13.9738	13.9738
257.313	13.9588	
257.319	14.1	
257.326	14.2875	14.2875
257.333	14.5163	
257.34	14.8313	
257.347	14.79	14.79
257.354	14.7738	
257.361	14.8488	
257.368	15.0663	15.0663
257.375	15.1613	
257.382	15.25	
257.389	15.4275	15.4275
257.396	15.3838	
257.403	15.6113	
257.41	15.8225	15.8225
257.417	16.1325	
257.424	16.4688	
257.431	16.8813	16.8813
257.438	17.0138	
257.444	16.945	
257.451	17.5463	17.5463
257.458	18.1775	
257.465	19.3513	
257.472	19.5563	19.5563
257.479	21.0813	
257.486	22.2925	
257.493	22.6813	22.6813
257.5	24.3613	
257.507	20.4038	
257.514	18.8538	18.8538
257.521	18.5475	
257.528	17.9738	
257.535	20.135	20.135
257.542	21.7325	
257.549	19.3388	
257.556	19.525	19.525
257.563	21.4813	
257.569	22.8	
257.576	20.4775	20.4775
257.583	20.7375	
257.59	19.4713	
257.597	20.7075	20.7075
257.604	21.52	
257.611	20.8788	
257.618	19.3075	19.3075
257.625	19.2013	
257.632	19.4113	
257.639	18.745	18.745
257.646	18.7413	
257.653	18.465	
257.66	18.3888	18.3888
257.667	18.2063	
257.674	18.2	
257.681	18.305	18.305
257.688	17.72	
257.694	17.7375	
257.701	17.0188	17.0188
257.708	16.9638	
257.715	16.8663	
257.722	16.8263	16.8263
257.729	16.855	
257.736	16.6838	
257.743	16.4338	16.4338
257.75	16.1488	
257.757	15.8688	
257.764	15.67	15.67
257.771	15.4713	
257.778	15.4263	
257.785	15.2563	15.2563
257.792	15.0275	
257.799	15.025	
257.806	14.935	14.935
257.813	14.89	
257.819	14.74	
257.826	14.7363	14.7363
257.833	14.8075	
257.84	14.9325	
257.847	14.8625	14.8625
257.854	14.775	
257.861	14.7738	
257.868	14.76	14.76
257.875	14.6613	
257.882	14.61	
257.889	14.5675	14.5675
257.896	14.5425	
257.903	14.5513	
257.91	14.5538	14.5538
257.917	14.5325	
257.924	14.495	
257.931	14.4738	14.4738
257.938	14.375	
257.944	14.46	
257.951	14.4263	14.4263
257.958	14.3138	
257.965	14.295	
257.972	14.1625	14.1625
257.979	14.125	
257.986	14.1088	
257.993	13.9725	13.9725
258	13.9725	
258.007	13.975	
258.014	13.91	13.91
258.021	13.9163	
258.028	13.95	
258.035	13.8175	13.8175
258.042	13.825	
258.049	13.8375	
258.056	13.805	13.805
258.063	13.8788	
258.069	13.9163	
258.076	14.155	14.155
258.083	14.0788	
258.09	14.0863	
258.097	14.0888	14.0888
258.104	14.0113	
258.111	13.9225	
258.118	13.8825	13.8825
258.125	13.8888	
258.132	13.7125	
